Country,Month,Total Passengers,Year
Taiwan,01 September 2017,215223,2017
Chile,01 September 2017,85125,2017
Cayman Islands,01 September 2017,41522,2017
Bahamas,01 September 2017,100845,2017
Denmark,01 September 2017,97306,2017
Brazil,01 September 2017,350363,2017
France,01 September 2017,721303,2017
Venezuela,01 September 2017,35363,2017
Italy,01 September 2017,406084,2017
Argentina,01 September 2017,133015,2017
Ireland,01 September 2017,338096,2017
Costa Rica,01 September 2017,137536,2017
Peru,01 September 2017,147856,2017
Panama,01 September 2017,239572,2017
Turkey,01 September 2017,179897,2017
South Korea,01 September 2017,538057,2017
United Kingdom,01 September 2017,1803499,2017
Switzerland,01 September 2017,216807,2017
Iceland,01 September 2017,233793,2017
Japan,01 September 2017,903957,2017
Dominican Republic,01 September 2017,364189,2017
Germany,01 September 2017,1069665,2017
United Arab Emirates,01 September 2017,303550,2017
China,01 September 2017,666028,2017
Colombia,01 September 2017,240690,2017
Russia,01 September 2017,85599,2017
Honduras,01 September 2017,60825,2017
El Salvador,01 September 2017,129663,2017
Antilles,01 September 2017,23339,2017
Aruba,01 September 2017,101365,2017
Spain,01 September 2017,385093,2017
Belgium,01 September 2017,87439,2017
Atlantic Ocean,01 September 2017,52800,2017
Netherlands,01 September 2017,495884,2017
New Zealand,01 August 2017,69777,2017
Philippines,01 August 2017,80217,2017
Taiwan,01 August 2017,283616,2017
Australia,01 August 2017,271092,2017
Trinidad and Tobago,01 August 2017,106328,2017
Israel,01 August 2017,146977,2017
Netherlands,01 August 2017,528569,2017
Spain,01 August 2017,435615,2017
Iceland,01 August 2017,287533,2017
China,01 August 2017,779847,2017
Russia,01 August 2017,99783,2017
Atlantic Ocean,01 August 2017,85008,2017
Venezuela,01 August 2017,47484,2017
France,01 August 2017,848672,2017
Antilles,01 August 2017,89231,2017
